Sprint,Fase,Capa,Módulo,ID,Clave,Resumen,Story Points
Sprint 1,Fase 1,BASE,AUTH,10000,SCRUM-1,[AUTH] [BASE] Registrarse con Email y contraseña,2
Sprint 1,Fase 1,BASE,USER,10056,SCRUM-57,"[USER] [BASE] Gestionar perfil personal: Editar datos (Nombre, Celular)",3
Sprint 1,Fase 1,BASE,PERFIL,10001,SCRUM-2,"[PERFIL] [BASE] Configurar perfil basico: Cargar nombre, especialidad, foto",3
Sprint 1,Fase 1,BASE,AGENDA,10020,SCRUM-21,[AGENDA] [BASE] Definir estructura base: Establecer días laborables y franjas horarias,3
Sprint 1,Fase 1,BASE,SERVICIOS,10024,SCRUM-25,[SERVICIOS] [BASE] Configurar servicios: Crear un servicio,5
Sprint 1,Fase 1,BASE,AUTH,10003,SCRUM-4,[AUTH] [BASE] Validar Email,3
Sprint 1,Fase 1,BASE,USER,10057,SCRUM-58,[USER] [BASE] Cambiar contraseña,2
Sprint 1,Fase 1,BASE,PERFIL,10010,SCRUM-11,"[PERFIL] [BASE] Configurar Perfil Básico: Cargar nombre, especialidad y foto",3
Sprint 1,Fase 1,BASE,AGENDA,10021,SCRUM-22,[AGENDA] [BASE] Definir duración estándar del turno,5
Sprint 1,Fase 1,BASE,SERVICIOS,10025,SCRUM-26,[SERVICIOS] [BASE] Configurar capacidad por turno,5
Sprint 1,Fase 1,BASE,AUTH,10004,SCRUM-5,[AUTH] [BASE] Iniciar sesión / Recuperar contraseña,2
Sprint 1,Fase 1,BASE,USER,10058,SCRUM-59,[USER] [BASE] Eliminar mi cuenta,3
Sprint 1,Fase 1,BASE,PERFIL,10011,SCRUM-12,[PERFIL] [BASE] Definir modalidad (Presencial/Virtual),2
Sprint 2,Fase 1,BASE,AGENDA,10022,SCRUM-23,[AGENDA] [BASE] Configurar descansos entre turnos,5
Sprint 2,Fase 1,BASE,SERVICIOS,10026,SCRUM-27,[SERVICIOS] [BASE] Editar o eliminar servicios,5
Sprint 2,Fase 1,BASE,AUTH,10005,SCRUM-6,[AUTH] [BASE] Cambiar contraseña / Eliminar,5
Sprint 2,Fase 1,BASE,PERFIL,10012,SCRUM-13,[PERFIL] [BASE] Generar link público de reservas,3
Sprint 2,Fase 1,PREM,AGENDA,10023,SCRUM-24,[AGENDA] [PREM] Sincronización con Google Calendar,5
Sprint 2,Fase 1,PREM,SERVICIOS,10027,SCRUM-28,[SERVICIOS] [PREM] Habilitar cobro de seña por servicio,3
Sprint 2,Fase 1,BASE,AUTH,10009,SCRUM-10,[AUTH] [BASE] Cambiar contraseña / Eliminar,5
Sprint 2,Fase 1,BASE,PERFIL,10013,SCRUM-14,[PERFIL] [BASE] Agregar links a Redes Sociales,2
Sprint 2,Fase 1,BASE,AUTH,10051,SCRUM-52,[AUTH] [BASE] Crear cuenta: Registrarse con Email y WhatsApp,5
Sprint 2,Fase 1,BASE,PERFIL,10014,SCRUM-15,[PERFIL] [BASE] Previsualizar perfil público,3
Sprint 2,Fase 1,BASE,AUTH,10052,SCRUM-53,[AUTH] [BASE] Validar cuenta (Email),3
Sprint 3,Fase 1,BASE,PERFIL,10015,SCRUM-16,[PERFIL] [BASE] Editar perfil,3
Sprint 3,Fase 1,BASE,AUTH,10053,SCRUM-54,[AUTH] [BASE] Acceder a la cuenta: Iniciar sesión con Email y Pass,3
Sprint 3,Fase 1,PREM,PERFIL,10016,SCRUM-17,[PERFIL] [PREM] Personalizar preguntas del formulario al cliente,3
Sprint 3,Fase 1,BASE,AUTH,10054,SCRUM-55,[AUTH] [BASE] Recuperar contraseña,3
Sprint 3,Fase 1,BASE,AUTH,10055,SCRUM-56,[AUTH] [BASE] Login rápido con Google (OAuth),3
Sprint 3,Fase 2,BASE,BOOKING,10066,SCRUM-67,[BOOKING] [BASE] Explorar perfil: Aterrizar en URL pública del profesional,2
Sprint 3,Fase 2,BASE,DASH,10059,SCRUM-60,[DASH] [BASE] Dashboard de Inicio: Ver resumen de próximos turnos agendados,3
Sprint 3,Fase 2,BASE,BOOKING,10067,SCRUM-68,[BOOKING] [BASE] Ver descripción y modalidad,2
Sprint 3,Fase 2,BASE,DASH,10060,SCRUM-61,[DASH] [BASE] Ver notificaciones/alertas importantes,3
Sprint 3,Fase 2,BASE,BOOKING,10068,SCRUM-69,[BOOKING] [BASE] Ver lista de servicios y duraciones,2
Sprint 3,Fase 2,BASE,DASH,10061,SCRUM-62,[DASH] [BASE] Mis Profesionales: Ver lista de profesionales previos,5
Sprint 3,Fase 2,BASE,BOOKING,10069,SCRUM-70,[BOOKING] [BASE] Filtrar servicios por categoría,2
Sprint 3,Fase 2,BASE,DASH,10062,SCRUM-63,"[DASH] [BASE] Botón de ""Volver a reservar""",3
Sprint 3,Fase 2,BASE,BOOKING,10070,SCRUM-71,[BOOKING] [BASE] Elegir disponibilidad: Navegar por el calendario,2
Sprint 3,Fase 2,BASE,DASH,10063,SCRUM-64,"[DASH] [BASE] Guardar un profesional en ""Favoritos""",3
Sprint 3,Fase 2,BASE,BOOKING,10071,SCRUM-72,[BOOKING] [BASE] Ver horarios disponibles en real-time,2
Sprint 4,Fase 2,BASE,BOOKING,10072,SCRUM-73,[BOOKING] [BASE] Seleccionar franja horaria,2
Sprint 4,Fase 2,BASE,BOOKING,10073,SCRUM-74,[BOOKING] [BASE] Seleccionar el servicio deseado,2
Sprint 4,Fase 2,BASE,BOOKING,10074,SCRUM-75,[BOOKING] [BASE] Confirmar y abonar: Completar datos básicos / Comentarios,2
